w,y,chain,latitude,longitude
13650,44340,Loran9960,42.73333,70.30167
13660,44340,Loran9960,42.72667,70.32167
13670,44340,Loran9960,42.72,70.34333
13680,44340,Loran9960,42.71333,70.36333
13690,44340,Loran9960,42.705,70.38333
13700,44340,Loran9960,42.69833,70.40333
13710,44340,Loran9960,42.69167,70.425
13720,44340,Loran9960,42.68333,70.445
13730,44340,Loran9960,42.67667,70.465
13740,44340,Loran9960,42.67,70.485
13750,44340,Loran9960,42.66333,70.505
13760,44340,Loran9960,42.655,70.525
13770,44340,Loran9960,42.64833,70.54667
13780,44340,Loran9960,42.64167,70.55
13790,44340,Loran9960,42.635,70.58667
13800,44340,Loran9960,42.62667,70.60667
13810,44340,Loran9960,42.62,70.62667
13820,44340,Loran9960,42.61333,70.64667
13830,44340,Loran9960,42.60667,70.66667
13840,44340,Loran9960,42.59833,70.68667
13850,44340,Loran9960,42.59167,70.70833
13860,44340,Loran9960,42.585,70.72833
13870,44340,Loran9960,42.57833,70.74833
13880,44340,Loran9960,42.57167,70.76833
13890,44340,Loran9960,42.56333,70.78833
13900,44340,Loran9960,42.55667,70.80833
13910,44340,Loran9960,42.55,70.82833
13920,44340,Loran9960,42.54333,70.84833
13930,44340,Loran9960,42.53667,70.86833
13940,44340,Loran9960,42.53,70.88833
13950,44340,Loran9960,42.52167,70.90833
13960,44340,Loran9960,42.515,70.93
13970,44340,Loran9960,42.50833,70.94833
13980,44340,Loran9960,42.50167,70.97
13990,44340,Loran9960,42.495,70.99
14000,44340,Loran9960,42.48667,71.01
11800,44345,Loran9960,44.385,65.665
11810,44345,Loran9960,44.37167,65.70667
11820,44345,Loran9960,44.35833,65.74667
11830,44345,Loran9960,44.345,65.785
11840,44345,Loran9960,44.33,65.825
11850,44345,Loran9960,44.31833,65.86333
11860,44345,Loran9960,44.305,65.90167
11870,44345,Loran9960,44.29167,65.93833
11880,44345,Loran9960,44.27833,65.97667
11890,44345,Loran9960,44.265,66.01333
11900,44345,Loran9960,44.25333,66.03333
11910,44345,Loran9960,44.24167,66.085
11920,44345,Loran9960,44.22833,66.12167
11930,44345,Loran9960,44.2,66.15667
11940,44345,Loran9960,44.20333,66.19167
11950,44345,Loran9960,44.19167,66.22667
11960,44345,Loran9960,44.18,66.26167
11970,44345,Loran9960,44.16833,66.295
11980,44345,Loran9960,44.15667,66.32833
11990,44345,Loran9960,44.145,66.36167
12000,44345,Loran9960,44.13333,66.395
12010,44345,Loran9960,44.12167,66.42833
12020,44345,Loran9960,44.11167,66.46167
12030,44345,Loran9960,44.1,66.49333
12040,44345,Loran9960,44.08833,66.525
12050,44345,Loran9960,44.07833,66.55667
12060,44345,Loran9960,44.06667,66.58833
12070,44345,Loran9960,44.055,66.62
12080,44345,Loran9960,44.045,66.65
12090,44345,Loran9960,44.035,66.68167
12100,44345,Loran9960,44.02333,66.71167
12110,44345,Loran9960,44.01333,66.74333
12120,44345,Loran9960,44.00167,66.77167
12130,44345,Loran9960,43.99167,66.80167
12140,44345,Loran9960,43.98167,66.83167
12150,44345,Loran9960,43.97167,66.86167
12160,44345,Loran9960,43.96167,66.89167
12170,44345,Loran9960,43.95,66.92
12180,44345,Loran9960,43.94,66.93333
12190,44345,Loran9960,43.93,66.97833
12200,44345,Loran9960,43.92,67.00667
12210,44345,Loran9960,43.91,67.035
12220,44345,Loran9960,43.9,67.06333
12230,44345,Loran9960,43.89,67.09167
12240,44345,Loran9960,43.88,67.12
12250,44345,Loran9960,43.87167,67.14667
12260,44345,Loran9960,43.86167,67.175
12270,44345,Loran9960,43.85167,67.20167
12280,44345,Loran9960,43.84167,67.23
12290,44345,Loran9960,43.83167,67.25667
12300,44345,Loran9960,43.82333,67.285
12310,44345,Loran9960,43.81333,67.31167
12320,44345,Loran9960,43.80333,67.33833
12330,44345,Loran9960,43.795,67.365
12340,44345,Loran9960,43.785,67.39167
12350,44345,Loran9960,43.77667,67.41833
12360,44345,Loran9960,43.76667,67.44333
12370,44345,Loran9960,43.75667,67.47
12380,44345,Loran9960,43.74833,67.49667
12390,44345,Loran9960,43.73833,67.52167
12400,44345,Loran9960,43.73,67.548330000000007
12410,44345,Loran9960,43.72,67.57333
12420,44345,Loran9960,43.71167,67.59833
12430,44345,Loran9960,43.70333,67.625
12440,44345,Loran9960,43.69333,67.65
12450,44345,Loran9960,43.685,67.675
12460,44345,Loran9960,43.67667,67.7
12470,44345,Loran9960,43.66667,67.72667
12480,44345,Loran9960,43.65833,67.75167
12490,44345,Loran9960,43.64833,67.775
12500,44345,Loran9960,43.64,67.8
12510,44345,Loran9960,43.63167,67.825
12520,44345,Loran9960,43.62333,67.83333
12530,44345,Loran9960,43.61333,67.875
12540,44345,Loran9960,43.605,67.89833
12550,44345,Loran9960,43.59667,67.923330000000007
12560,44345,Loran9960,43.58833,67.94667
