w,x,chain,latitude,longitude
13480,25010,Loran9960,41.13667,68.33
13490,25010,Loran9960,41.14333,68.37
13500,25010,Loran9960,41.13333,68.41167
13510,25010,Loran9960,41.155,68.45167
13520,25010,Loran9960,41.16167,68.49167
13530,25010,Loran9960,41.16833,68.53167
13540,25010,Loran9960,41.17333,68.57167
13550,25010,Loran9960,41.17833,68.61167
13560,25010,Loran9960,41.185,68.65167
13570,25010,Loran9960,41.19,68.69
13580,25010,Loran9960,41.195,68.72833
13590,25010,Loran9960,41.2,68.76667
13600,25010,Loran9960,41.205,68.805
13610,25010,Loran9960,41.21167,68.84333
13620,25010,Loran9960,41.215,68.88
13630,25010,Loran9960,41.22,68.91833
13640,25010,Loran9960,41.225,68.955
13650,25010,Loran9960,41.23,68.99167
13660,25010,Loran9960,41.235,69.02833
13670,25010,Loran9960,41.23833,69.065
13680,25010,Loran9960,41.24333,69.10167
13690,25010,Loran9960,41.24833,69.13667
13700,25010,Loran9960,41.25167,69.173330000000007
13710,25010,Loran9960,41.25667,69.20833
13720,25010,Loran9960,41.26,69.24333
13730,25010,Loran9960,41.26333,69.28
13740,25010,Loran9960,41.26833,69.31333
13750,25010,Loran9960,41.27,69.34833
13760,25010,Loran9960,41.275,69.36667
13770,25010,Loran9960,41.27833,69.41667
13780,25010,Loran9960,41.28,69.45
13790,25010,Loran9960,41.28333,69.485
13800,25010,Loran9960,41.28667,69.51833
13810,25010,Loran9960,41.28833,69.55
13820,25010,Loran9960,41.29167,69.56667
13830,25010,Loran9960,41.29333,69.615
13840,25010,Loran9960,41.295,69.64833
13850,25010,Loran9960,41.29667,69.68
13860,25010,Loran9960,41.29667,69.71167
13870,25010,Loran9960,41.29833,69.74167
13880,25010,Loran9960,41.29833,69.77333
13890,25010,Loran9960,41.29833,69.80333
13900,25010,Loran9960,41.29833,69.81667
13910,25010,Loran9960,41.29667,69.86167
13920,25010,Loran9960,41.295,69.89
13930,25010,Loran9960,41.29167,69.91833
13940,25010,Loran9960,41.28667,69.945
13950,25010,Loran9960,41.27833,69.96833
13960,25010,Loran9960,41.25,69.98833
13970,25010,Loran9960,41.225,69.98833
13980,25010,Loran9960,41.235,70.02667
13990,25010,Loran9960,41.24333,70.06333
14000,25010,Loran9960,41.25333,70.09833
11800,25020,Loran9960,24.80667,25.145
11810,25020,Loran9960,26.23,27.36333
11820,25020,Loran9960,27.48167,29.40833
11830,25020,Loran9960,28.585,31.295
11840,25020,Loran9960,29.56333,33.03667
11850,25020,Loran9960,30.43,34.65
11860,25020,Loran9960,31.20167,36.145
11870,25020,Loran9960,31.89167,37.53
11880,25020,Loran9960,32.51,38.82
11890,25020,Loran9960,33.06833,40.02
11900,25020,Loran9960,33.57,41.13833
11910,25020,Loran9960,34.02667,42.185
11920,25020,Loran9960,34.44,43.165
11930,25020,Loran9960,34.81833,44.08333
11940,25020,Loran9960,35.16333,44.94667
11950,25020,Loran9960,35.48,45.75833
11960,25020,Loran9960,35.77,46.52167
11970,25020,Loran9960,36.03833,47.24333
11980,25020,Loran9960,36.285,47.92667
11990,25020,Loran9960,36.515,48.57167
12000,25020,Loran9960,36.72833,49.16667
12010,25020,Loran9960,36.925,49.76333
12020,25020,Loran9960,37.11,50.315
12030,25020,Loran9960,37.28167,50.84
12040,25020,Loran9960,37.44333,51.34
12050,25020,Loran9960,37.595,51.8
12060,25020,Loran9960,37.73667,52.27167
12070,25020,Loran9960,37.87,52.705
12080,25020,Loran9960,37.995,53.12167
12090,25020,Loran9960,38.11333,53.52
12100,25020,Loran9960,38.225,53.90167
12110,25020,Loran9960,38.33167,54.26833
12120,25020,Loran9960,38.43167,54.62
12130,25020,Loran9960,38.52667,54.95833
12140,25020,Loran9960,38.61667,55.28333
12150,25020,Loran9960,38.70167,55.59667
12160,25020,Loran9960,38.785,55.89833
12170,25020,Loran9960,38.86167,56.19
12180,25020,Loran9960,38.93667,56.47
12190,25020,Loran9960,39.00667,56.74167
12200,25020,Loran9960,39.075,57.00333
12210,25020,Loran9960,39.14,57.25667
12220,25020,Loran9960,39.20167,57.50167
12230,25020,Loran9960,39.26167,57.73833
12240,25020,Loran9960,39.31833,57.96833
12250,25020,Loran9960,39.37167,58.19167
12260,25020,Loran9960,39.425,58.40833
12270,25020,Loran9960,39.475,58.61833
12280,25020,Loran9960,39.52333,58.82167
12290,25020,Loran9960,39.57,59.01833
12300,25020,Loran9960,39.615,59.21167
12310,25020,Loran9960,39.66,59.39833
12320,25020,Loran9960,39.70167,59.58
12330,25020,Loran9960,39.74167,59.75833
12340,25020,Loran9960,39.78,59.93
12350,25020,Loran9960,39.81833,60.09833
12360,25020,Loran9960,39.855,60.26167
12370,25020,Loran9960,39.89,60.42167
12380,25020,Loran9960,39.925,60.57667
12390,25020,Loran9960,39.95667,60.73
12400,25020,Loran9960,39.98833,60.87833
12410,25020,Loran9960,40.02,61.02333
12420,25020,Loran9960,40.05,61.165
12430,25020,Loran9960,40.08,61.30333
12440,25020,Loran9960,40.10833,61.43833
12450,25020,Loran9960,40.135,61.57167
12460,25020,Loran9960,40.16333,61.7
12470,25020,Loran9960,40.18833,61.82833
12480,25020,Loran9960,40.21333,61.95167
12490,25020,Loran9960,40.23833,62.07333
12500,25020,Loran9960,40.26333,62.19333
12510,25020,Loran9960,40.28667,62.31
12520,25020,Loran9960,40.30833,62.425
12530,25020,Loran9960,40.33167,62.53667
12540,25020,Loran9960,40.35333,62.64667
12550,25020,Loran9960,40.37333,62.755
12560,25020,Loran9960,40.395,62.86167
12570,25020,Loran9960,40.415,62.965
12580,25020,Loran9960,40.435,63.06833
12590,25020,Loran9960,40.45333,63.16833
12600,25020,Loran9960,40.47167,63.26667
12610,25020,Loran9960,40.49,63.36333
12620,25020,Loran9960,40.50833,63.45833
12630,25020,Loran9960,40.525,63.55333
12640,25020,Loran9960,40.54333,63.645
12650,25020,Loran9960,40.56,63.735
12660,25020,Loran9960,40.57667,63.825
12670,25020,Loran9960,40.59167,63.91333
12680,25020,Loran9960,40.60833,63.98333
12690,25020,Loran9960,40.62333,64.085
12700,25020,Loran9960,40.63833,64.16833
12710,25020,Loran9960,40.65167,64.25167
12720,25020,Loran9960,40.66667,64.33167
12730,25020,Loran9960,40.68,64.41333
12740,25020,Loran9960,40.695,64.49167
12750,25020,Loran9960,40.70833,64.57
12760,25020,Loran9960,40.72167,64.64667
12770,25020,Loran9960,40.735,64.72167
12780,25020,Loran9960,40.74667,64.79667
12790,25020,Loran9960,40.76,64.87
12800,25020,Loran9960,40.77167,64.94333
12810,25020,Loran9960,40.785,65.015
12820,25020,Loran9960,40.79667,65.085
12830,25020,Loran9960,40.80833,65.155
12840,25020,Loran9960,40.82,65.225
12850,25020,Loran9960,40.83,65.29333
12860,25020,Loran9960,40.84167,65.36
12870,25020,Loran9960,40.85167,65.42667
12880,25020,Loran9960,40.86333,65.49167
12890,25020,Loran9960,40.87333,65.55667
12900,25020,Loran9960,40.88333,65.62
12910,25020,Loran9960,40.895,65.685
12920,25020,Loran9960,40.90333,65.74667
12930,25020,Loran9960,40.91333,65.80833
12940,25020,Loran9960,40.92333,65.87
12950,25020,Loran9960,40.91667,65.93
12960,25020,Loran9960,40.94167,65.99
12970,25020,Loran9960,40.95167,66.03333
12980,25020,Loran9960,40.96,66.10833
12990,25020,Loran9960,40.96833,66.15
13000,25020,Loran9960,40.97833,66.22333
13010,25020,Loran9960,40.98667,66.28
13020,25020,Loran9960,40.995,66.33667
13030,25020,Loran9960,41.00333,66.39167
13040,25020,Loran9960,41.01167,66.44667
13050,25020,Loran9960,41.02,66.50167
13060,25020,Loran9960,41.02833,66.555
13070,25020,Loran9960,41.035,66.61
13080,25020,Loran9960,41.04333,66.66167
13090,25020,Loran9960,41.05,66.715
13100,25020,Loran9960,41.05833,66.75
13110,25020,Loran9960,41.065,66.81833
13120,25020,Loran9960,41.07167,66.86833
13130,25020,Loran9960,41.08,66.92
13140,25020,Loran9960,41.08667,66.97
13150,25020,Loran9960,41.09333,67.01833
13160,25020,Loran9960,41.1,67.06833
13170,25020,Loran9960,41.10667,67.11667
13180,25020,Loran9960,41.11333,67.165
13190,25020,Loran9960,41.12,67.21333
13200,25020,Loran9960,41.12667,67.26167
13210,25020,Loran9960,41.11667,67.30833
13220,25020,Loran9960,41.13833,67.355
13230,25020,Loran9960,41.145,67.40167
13240,25020,Loran9960,41.15167,67.44667
13250,25020,Loran9960,41.15667,67.49333
13260,25020,Loran9960,41.16333,67.53833
13270,25020,Loran9960,41.16833,67.56667
13280,25020,Loran9960,41.175,67.62833
13290,25020,Loran9960,41.18,67.67167
13300,25020,Loran9960,41.185,67.715
13310,25020,Loran9960,41.19167,67.76
13320,25020,Loran9960,41.19667,67.80167
13330,25020,Loran9960,41.20167,67.845
13340,25020,Loran9960,41.20667,67.88833
13350,25020,Loran9960,41.21167,67.93
13360,25020,Loran9960,41.21667,67.97167
13370,25020,Loran9960,41.22167,68.01333
13380,25020,Loran9960,41.22667,68.055
13390,25020,Loran9960,41.23167,68.09667
13400,25020,Loran9960,41.235,68.13667
13410,25020,Loran9960,41.24,68.17833
13420,25020,Loran9960,41.245,68.21833
13430,25020,Loran9960,41.24833,68.25833
13440,25020,Loran9960,41.25333,68.29667
13450,25020,Loran9960,41.25833,68.33667
13460,25020,Loran9960,41.26167,68.37667
13470,25020,Loran9960,41.265,68.415
13480,25020,Loran9960,41.27,68.45333
13490,25020,Loran9960,41.27333,68.49167
13500,25020,Loran9960,41.27833,68.53
13510,25020,Loran9960,41.28167,68.56833
13520,25020,Loran9960,41.285,68.605
13530,25020,Loran9960,41.28833,68.64333
13540,25020,Loran9960,41.29167,68.68
13550,25020,Loran9960,41.295,68.71667
13560,25020,Loran9960,41.29833,68.75333
13570,25020,Loran9960,41.30167,68.79
13580,25020,Loran9960,41.305,68.82667
13590,25020,Loran9960,41.30833,68.86167
13600,25020,Loran9960,41.31167,68.89667
13610,25020,Loran9960,41.31333,68.91667
13620,25020,Loran9960,41.31667,68.96833
13630,25020,Loran9960,41.31833,69.00333
13640,25020,Loran9960,41.32167,69.03833
13650,25020,Loran9960,41.325,69.07333
13660,25020,Loran9960,41.32667,69.10667
13670,25020,Loran9960,41.32833,69.14167
13680,25020,Loran9960,41.33,69.175
13690,25020,Loran9960,41.31667,69.20833
13700,25020,Loran9960,41.335,69.24167
13710,25020,Loran9960,41.33667,69.275
13720,25020,Loran9960,41.33833,69.30833
13730,25020,Loran9960,41.34,69.34167
13740,25020,Loran9960,41.34167,69.37333
13750,25020,Loran9960,41.34167,69.40667
13760,25020,Loran9960,41.34333,69.43833
13770,25020,Loran9960,41.34333,69.47
13780,25020,Loran9960,41.345,69.50167
13790,25020,Loran9960,41.345,69.51667
13800,25020,Loran9960,41.345,69.56333
13810,25020,Loran9960,41.345,69.595
13820,25020,Loran9960,41.345,69.625
13830,25020,Loran9960,41.34333,69.655
13840,25020,Loran9960,41.34333,69.685
13850,25020,Loran9960,41.34167,69.715
13860,25020,Loran9960,41.34,69.74333
13870,25020,Loran9960,41.33833,69.77333
13880,25020,Loran9960,41.335,69.80167
13890,25020,Loran9960,41.31667,69.82833
13900,25020,Loran9960,41.33,69.85667
13910,25020,Loran9960,41.325,69.86667
13920,25020,Loran9960,41.31833,69.90833
13930,25020,Loran9960,41.31333,69.93333
13940,25020,Loran9960,41.305,69.95833
13950,25020,Loran9960,41.29333,69.98
13960,25020,Loran9960,41.28,69.99833
13970,25020,Loran9960,41.25833,70.01333
13980,25020,Loran9960,41.19667,69.99833
13990,25020,Loran9960,41.20667,70.035
14000,25020,Loran9960,41.21667,70.07333
11800,25030,Loran9960,32.25167,36.05333
11810,25030,Loran9960,32.90667,37.47
11820,25030,Loran9960,33.49167,38.785
11830,25030,Loran9960,34.015,40.00833
11840,25030,Loran9960,34.48667,41.14667
11850,25030,Loran9960,34.91167,42.20667
11860,25030,Loran9960,35.29667,43.19833
11870,25030,Loran9960,35.64667,44.12667
11880,25030,Loran9960,35.965,44.99833
11890,25030,Loran9960,36.25667,45.815
11900,25030,Loran9960,36.525,46.585
11910,25030,Loran9960,36.77,47.31
11920,25030,Loran9960,36.99667,47.995
