w,x,chain,latitude,longitude
12940,25230,Loran9960,42.40167,67.74167
12950,25230,Loran9960,42.39667,67.77167
12960,25230,Loran9960,42.39167,67.80333
12970,25230,Loran9960,42.385,67.81667
12980,25230,Loran9960,42.38,67.86333
12990,25230,Loran9960,42.375,67.89333
13000,25230,Loran9960,42.36833,67.92167
13010,25230,Loran9960,42.36333,67.95167
13020,25230,Loran9960,42.35667,67.98167
13030,25230,Loran9960,42.35167,68.01
13040,25230,Loran9960,42.345,68.04
13050,25230,Loran9960,42.34,68.06833
13060,25230,Loran9960,42.33333,68.09667
13070,25230,Loran9960,42.32833,68.12667
13080,25230,Loran9960,42.32167,68.155
13090,25230,Loran9960,42.3,68.18333
13100,25230,Loran9960,42.31,68.21167
13110,25230,Loran9960,42.305,68.24
13120,25230,Loran9960,42.29833,68.26833
13130,25230,Loran9960,42.29333,68.295
13140,25230,Loran9960,42.28667,68.32333
13150,25230,Loran9960,42.28,68.35167
13160,25230,Loran9960,42.275,68.37833
13170,25230,Loran9960,42.26833,68.40667
13180,25230,Loran9960,42.26167,68.43333
13190,25230,Loran9960,42.25667,68.46
13200,25230,Loran9960,42.25,68.48667
13210,25230,Loran9960,42.24333,68.515
13220,25230,Loran9960,42.23667,68.54167
13230,25230,Loran9960,42.23167,68.56833
13240,25230,Loran9960,42.225,68.595
13250,25230,Loran9960,42.21833,68.62167
13260,25230,Loran9960,42.21333,68.64667
13270,25230,Loran9960,42.20667,68.673330000000007
13280,25230,Loran9960,42.18333,68.68333
13290,25230,Loran9960,42.19333,68.72667
13300,25230,Loran9960,42.18667,68.75167
13310,25230,Loran9960,42.18,68.77833
13320,25230,Loran9960,42.17333,68.80333
13330,25230,Loran9960,42.16667,68.82833
13340,25230,Loran9960,42.16,68.85333
13350,25230,Loran9960,42.15333,68.88
13360,25230,Loran9960,42.14667,68.905
13370,25230,Loran9960,42.14,68.93
13380,25230,Loran9960,42.13333,68.955
13390,25230,Loran9960,42.12667,68.98
13400,25230,Loran9960,42.12,69.005
13410,25230,Loran9960,42.11333,69.03
13420,25230,Loran9960,42.105,69.055
13430,25230,Loran9960,42.09833,69.07833
13440,25230,Loran9960,42.09167,69.10333
13450,25230,Loran9960,42.085,69.12833
13460,25230,Loran9960,42.07667,69.15167
13470,25230,Loran9960,42.07,69.17667
13480,25230,Loran9960,42.06333,69.2
13490,25230,Loran9960,42.055,69.225
13500,25230,Loran9960,42.04833,69.24833
13510,25230,Loran9960,42.04,69.27167
13520,25230,Loran9960,42.03167,69.295
13530,25230,Loran9960,42.025,69.31833
13540,25230,Loran9960,42.01667,69.34167
13550,25230,Loran9960,42.01,69.365
13560,25230,Loran9960,42.00167,69.38833
13570,25230,Loran9960,41.99333,69.41167
13580,25230,Loran9960,41.985,69.435
13590,25230,Loran9960,41.97667,69.45833
13600,25230,Loran9960,41.96833,69.48
13610,25230,Loran9960,41.96167,69.50333
13620,25230,Loran9960,41.95167,69.52667
13630,25230,Loran9960,41.94333,69.548330000000007
13640,25230,Loran9960,41.935,69.57
13650,25230,Loran9960,41.92667,69.59333
13660,25230,Loran9960,41.91833,69.615
13670,25230,Loran9960,41.90833,69.63667
13680,25230,Loran9960,41.88333,69.65833
13690,25230,Loran9960,41.89,69.68
13700,25230,Loran9960,41.88167,69.70167
13710,25230,Loran9960,41.87167,69.72333
13720,25230,Loran9960,41.86167,69.745
13730,25230,Loran9960,41.85167,69.76667
13740,25230,Loran9960,41.84167,69.78833
13750,25230,Loran9960,41.83167,69.80833
13760,25230,Loran9960,41.82167,69.83
13770,25230,Loran9960,41.81167,69.85
13780,25230,Loran9960,41.80167,69.87167
13790,25230,Loran9960,41.79,69.89167
13800,25230,Loran9960,41.78,69.91167
13810,25230,Loran9960,41.76833,69.93167
13820,25230,Loran9960,41.75667,69.95167
13830,25230,Loran9960,41.745,69.97167
13840,25230,Loran9960,41.73333,69.99167
13850,25230,Loran9960,41.72167,70.01167
13860,25230,Loran9960,41.71,70.03
13870,25230,Loran9960,41.69667,70.03333
13880,25230,Loran9960,41.685,70.06833
13890,25230,Loran9960,41.67167,70.08667
13900,25230,Loran9960,41.65833,70.105
13910,25230,Loran9960,41.64333,70.12333
13920,25230,Loran9960,41.63,70.14167
13930,25230,Loran9960,41.615,70.16
13940,25230,Loran9960,41.6,70.17667
13950,25230,Loran9960,41.585,70.195
13960,25230,Loran9960,41.56833,70.21167
13970,25230,Loran9960,41.55167,70.22833
13980,25230,Loran9960,41.535,70.245
13990,25230,Loran9960,41.51833,70.26
14000,25230,Loran9960,41.48333,70.27667
11800,25240,Loran9960,43.17667,61.72167
11810,25240,Loran9960,43.16667,61.83667
11820,25240,Loran9960,43.15833,61.94833
11830,25240,Loran9960,43.13333,62.05833
11840,25240,Loran9960,43.14167,62.165
11850,25240,Loran9960,43.11667,62.26833
11860,25240,Loran9960,43.125,62.37
11870,25240,Loran9960,43.115,62.47
11880,25240,Loran9960,43.10833,62.56667
11890,25240,Loran9960,43.08333,62.66167
11900,25240,Loran9960,43.09167,62.75333
11910,25240,Loran9960,43.08333,62.845
11920,25240,Loran9960,43.075,62.93333
11930,25240,Loran9960,43.06833,63.02
11940,25240,Loran9960,43.06,63.105
11950,25240,Loran9960,43.05167,63.19
11960,25240,Loran9960,43.045,63.27167
11970,25240,Loran9960,43.03667,63.35167
11980,25240,Loran9960,43.02833,63.43
11990,25240,Loran9960,43.02167,63.50833
12000,25240,Loran9960,43.01333,63.58333
12010,25240,Loran9960,43.00667,63.65833
12020,25240,Loran9960,42.99833,63.73
12030,25240,Loran9960,42.99167,63.80333
12040,25240,Loran9960,42.985,63.87333
12050,25240,Loran9960,42.97667,63.94333
12060,25240,Loran9960,42.97,64.01167
12070,25240,Loran9960,42.96333,64.07833
12080,25240,Loran9960,42.95667,64.145
12090,25240,Loran9960,42.94833,64.21
12100,25240,Loran9960,42.94167,64.27333
12110,25240,Loran9960,42.935,64.33667
12120,25240,Loran9960,42.92833,64.39833
12130,25240,Loran9960,42.92167,64.46
12140,25240,Loran9960,42.915,64.52
12150,25240,Loran9960,42.90833,64.58
12160,25240,Loran9960,42.90167,64.63833
12170,25240,Loran9960,42.895,64.69667
12180,25240,Loran9960,42.88833,64.75333
12190,25240,Loran9960,42.88167,64.81
12200,25240,Loran9960,42.875,64.865
12210,25240,Loran9960,42.86833,64.92
12220,25240,Loran9960,42.86167,64.975
12230,25240,Loran9960,42.855,65.02833
12240,25240,Loran9960,42.84833,65.08
12250,25240,Loran9960,42.84333,65.11667
12260,25240,Loran9960,42.83667,65.185
12270,25240,Loran9960,42.83,65.235
12280,25240,Loran9960,42.82333,65.285
12290,25240,Loran9960,42.81667,65.335
12300,25240,Loran9960,42.81167,65.385
12310,25240,Loran9960,42.805,65.41667
12320,25240,Loran9960,42.79833,65.48
12330,25240,Loran9960,42.79333,65.52833
12340,25240,Loran9960,42.78667,65.575
12350,25240,Loran9960,42.78,65.62167
12360,25240,Loran9960,42.77333,65.66833
12370,25240,Loran9960,42.76833,65.71333
12380,25240,Loran9960,42.76167,65.75833
12390,25240,Loran9960,42.755,65.80333
12400,25240,Loran9960,42.73333,65.84833
12410,25240,Loran9960,42.74333,65.89167
12420,25240,Loran9960,42.73833,65.935
12430,25240,Loran9960,42.73167,65.97833
12440,25240,Loran9960,42.72667,66.02
12450,25240,Loran9960,42.72,66.06333
12460,25240,Loran9960,42.71333,66.105
12470,25240,Loran9960,42.70833,66.14667
12480,25240,Loran9960,42.70167,66.18667
12490,25240,Loran9960,42.69667,66.22833
12500,25240,Loran9960,42.69,66.26833
12510,25240,Loran9960,42.685,66.30833
12520,25240,Loran9960,42.67833,66.34667
12530,25240,Loran9960,42.67333,66.38667
12540,25240,Loran9960,42.66667,66.42667
12550,25240,Loran9960,42.66167,66.465
12560,25240,Loran9960,42.655,66.50333
12570,25240,Loran9960,42.63333,66.54167
12580,25240,Loran9960,42.64333,66.57833
12590,25240,Loran9960,42.63833,66.6
12600,25240,Loran9960,42.63167,66.65333
12610,25240,Loran9960,42.62667,66.69
12620,25240,Loran9960,42.62,66.72667
12630,25240,Loran9960,42.615,66.76333
12640,25240,Loran9960,42.60833,66.8
12650,25240,Loran9960,42.60333,66.835
12660,25240,Loran9960,42.59667,66.87167
12670,25240,Loran9960,42.59167,66.90667
12680,25240,Loran9960,42.585,66.94167
12690,25240,Loran9960,42.58,66.97667
12700,25240,Loran9960,42.575,67.01167
12710,25240,Loran9960,42.56833,67.04667
12720,25240,Loran9960,42.56333,67.08
12730,25240,Loran9960,42.55667,67.11333
12740,25240,Loran9960,42.55167,67.14833
12750,25240,Loran9960,42.545,67.18167
12760,25240,Loran9960,42.54,67.215
12770,25240,Loran9960,42.535,67.24833
12780,25240,Loran9960,42.52833,67.28167
12790,25240,Loran9960,42.52167,67.31333
12800,25240,Loran9960,42.51667,67.34667
12810,25240,Loran9960,42.51167,67.37833
12820,25240,Loran9960,42.505,67.41167
12830,25240,Loran9960,42.48333,67.44333
12840,25240,Loran9960,42.49333,67.475
